Prompt,Done
"“Autumn nibbles its leaf from my hand. / We are friends. // We shell time from the nuts and teach them to walk. / Time returns into its shell.” In an essay on Lit Hub, Sara Martin writes about compulsively reciting Paul Celan’s poem “Corona” on first dates as a “beautiful but impersonal” way to expedite intimacy. This week, write a poem you can imagine reciting to a new romantic prospect or lover, one that doesn’t necessarily dwell on traditional images or vocabulary of seduction but strives for a subtle sense of hope and urgency. What kind of language do you use to invoke an immediate intimacy?",
"“Because curfews of / Because strip search at the checkpoint into / Because grandmother’s undergarments splayed on / Because two men with guns on the way to / Because grandmother saves plastic Coke liters to / Because the water could without notice be,” writes Jessica Abughattas in her poem “Litany for My Father” published by Split This Rock. The poem consists of twenty-two lines, which, all but the last line, begin with the word “because” and end abruptly, as if in mid-thought. The lines build into a powerful expression of loss and a sublimated sense of intense sorrow, how powerless one can feel in grief. Write a poem that makes use of omission or erasure in this way, taking into consideration how the format might influence your subject or theme. How does this repeated absence of words achieve emotive force?",
"“Beech bark is a tender thing.” In C. D. Wright’s Casting Deep Shade (Copper Canyon Press, 2019), the late poet writes of childhood memories, climate change, art in nature, and other topics, all revolving around a single entity: the beech tree. This week choose a tree, flower, or similarly nonverbal but living being that has held some significance for you over the course of your life. Write a poem in its honor, toeing the line between verse and prose, research and memory, fact and speculation. Get to know your muse and move your reader to care for it as well. What sights and smells does it evoke from your past? How do you interpret its silence? What does it offer to you and the world?",
"“By entering a found text as a poem, the poet doubles its context. The original meaning remains intact, but now it swings between two poles,"" Annie Dillard wrote in Mornings Like This: Found Poems (Harper Perennial, 1996). ""The poet adds, or at any rate increases, the element of delight."" Many twentieth-century writers have experimented with found poetry, whether composing entire poems that consist solely of outside texts collaged together (David Antin, Blaise Cendrars, Charles Reznikoff) or incorporating pieces of found text into poems (T. S. Eliot, Ezra Pound, William Carlos Williams). Using these poets as inspiration, create a found poem using materials from street signs, newspapers, product packaging, legal documents, or e-mails. Play with different rearrangements and line breaks to form a new meaning that may be an unexpected juxtaposition to the original text.",
"“By existing in a cinematic space, Shakespeare can feel alive and present,” says Ross Williams, founder of the nonprofit New York Shakespeare Exchange, whose film project Maya C. Popa writes about in “The Shakespeare Sonnet Project” in the November/December issue of Poets & Writers Magazine. The project aims to collect videos of each of Shakespeare’s 154 sonnets performed by actors in different locations in New York City, with a future series to be filmed in locations in the rest of the country and abroad. Browse through some of Shakespeare’s sonnets, and choose one that reminds you of a place you know, or which evokes a site-specific memory. Write your own sonnet in response, bringing phrases and ideas used almost half a millennium ago into the present by incorporating cinematic imagery of a contemporary locale.",
"“Cats suffer from dementia too. Did you know that?” begins Margaret Atwood’s poem “Ghost Cat” from Dearly (Ecco Press, 2020), her first collection of poetry in over a decade. The poem centers on a cat with dementia who wanders the house at night nibbling on bits of food: “from a tomato here, a ripe peach there, / a crumpet, a softening pear. / Is this what I’m supposed to eat?” Cats have been at the center of literature for centuries, ranging from Christopher Smart’s eighteenth-century poem “Jubilate Agno,” which begins “For I will consider my Cat Jeoffry,” to Mikhail Bulgakov’s novel The Master and Margarita and Haruki Murakami’s novel Kafka on the Shore. Write a poem inspired by a cat. As an added challenge, try writing from the perspective of a cat, instead of from a human watching one.",
"“Caught in the rain today, I recall that couple kissing and holding each other infinitely close in the rain one dark evening under the nearly invisible trees,” wrote Paul Valéry in 1910, in a notebook included in The Idea of Perfection: The Poetry of Paul Valéry, translated from the French by Nathaniel Rudavsky-Brody and forthcoming from Farrar, Straus and Giroux this month. Draw inspiration from rainy scenes in poetry such as William Carlos Williams’s “Spring Storm,” Sara Teasdale’s “There Will Come Soft Rains,” and Emily Dickinson’s “Like Rain it sounded till it curved” and write a poem that captures a moment in the rain, one that seems quiet or private but also carries emotional weight. Is there something poignant, parallel, or contradictory between the subject of the poem and the themes of rebirth and renewal that are conventionally associated with springtime?",
"""Children begin by loving their parents; as they grow older they judge them; sometimes they forgive them,"" writes Oscar Wilde in his 1891 novel, The Picture of Dorian Gray. Drawing upon your own experiences with parents, guardians, mother or father figures—or your personal history as a parent yourself—compile a short list of specific memories and observations divided into three categories: love, judgment, and forgiveness. Would you agree with Wilde that children's love for and judgment of parents are inevitable, but forgiveness of them may be less so? How might you see forgiveness as a more conscious component of a parent-child relationship? Write a three-part poem that explores the many nuances of a parent-child relationship as it evolves with age.",
"“Cold, moist, young phlegmy winter now doth lie / In swaddling clouts, like new-born infancy,” writes Anne Bradstreet in the opening lines of her 1650 poem “Winter.” In her seasonal poem, Bradstreet traverses from the month of December to “cold, frozen January,” and finally to “moist snowy February,” cycling through the movements of the sun, the length of day, and the sensation of warmth or chill on the body. Though we often think of winter as one portion of the year’s seasons, how do the individual months of winter feel to you? Write a poem that tracks your personal memories from multiple Decembers, Januaries, and Februaries (or Junes, Julys, and Augusts in the Southern Hemisphere), perhaps thinking of these months as smaller, concentric or overlapping circles within a larger one.",
"“Comics are a staccato medium, with evidently small elements adding up to bigger ones,” says cartoonist Jason Adam Katzenstein in “Graphic Narrative Workshops” by Elena Goukassian in the January/February issue of Poets & Writers Magazine. “Comics panels feel like stanzas in a poem.” Find a favorite short comic strip and write a poem comprised of one stanza per panel. Study the comic to gather a sense of the theme and pacing, working backwards from the images to write a piece that reflects a bigger whole created out of smaller, distilled moments.",
"“Dear Mother, I have so many questions. What city were you born in? What was your American birthday? Your Chinese birthday? What did your mother do?” writes Victoria Chang in the first letter of her nonfiction book, Dear Memory: Letters on Writing, Silence, and Grief, published in October by Milkweed Editions. In the book, Chang writes letters to family members, teachers, and writing colleagues—to silence, to the reader, to memory itself—interspersed with collages made from family documents, relics, and mementos, including a marriage license, photographs, and a visa petition, forming an immersive collection that reckons with memory and what it dredges from the past. Using Dear Memory as inspiration, write three poems in the form of letters: one addressed to a parent, another to a grandparent, and the third to an experience or emotion, such as regret or grief. Try using family photographs or keepsakes as a way of entering the poems.",
"“Does a voice have to be auditory to be a voice? / where in the body does hearing take place? / which are the questions that cannot be addressed in language?” Jen Hofer has said that her poem “future somatics to-do list,” which is composed as a list of questions, is “a poem that is a to-do list that is a poem.” Write a poem that consists of a series of questions, all revolving around one topic or concern. In what ways do the types of questions, and their progression, reveal both your current state of mind and your hopes for the future?",
"“Each poem or song has a genealogy of sorts. When I speak with singers from our ceremonial ground about a song, they tell you who taught you the song, where the song came from, who has the authority to sing/speak it,” writes former U.S. Poet Laureate Joy Harjo in her Blaney Lecture “Ancestors: A Mapping of Indigenous Poetry and Poets” delivered in 2015 at Poets Forum in New York City. “The meanings make a map that sometimes connect you to a lonely serviceman in Japan, or to the journey over the Trail of Tears, from what is now known as Alabama to Indian Territory, or Oklahoma.” Inspired by Harjo’s words, write a poem that traces the genealogy of your poetry. Try starting with a list or a family tree to uncover the storytellers who have inspired you.",
"“Empathy is about finding echoes of another person in yourself,” said author Mohsin Hamid in a 2012 interview. Think about a stranger with whom you recently crossed paths. It could be the person who bagged your groceries, stood in front of you in line at the post office, or simply walked by you on the street. What type of situation can you imagine this stranger experiencing? Which emotions or feelings would you project onto this stranger? Write a poem about this imagined event from the stranger's perspective. Concentrate on digging deeply into your own private observations and personal history to capture what sensations might be echoed in another person’s experience.",
"“Enough of osseous and chickadee and sunflower / and snowshoes, maple and seeds,” writes Ada Limón in her poem “The End of Poetry.” “Enough sorrow, enough of the air and its ease, / I am asking you to touch me.” In this timely poem, Limón uses the repetition of “enough of” to list actions, objects, and experiences that might be considered poetic in order to emphasize what the speaker is willing to do away with for a moment of physical connection. Write a poem that articulates “the end of poetry” for you. What images and phrases would you consider poetic, and what would you want in return if you were to give it all away?",
"“Erasure poetry is a reconsideration of an existing text. There was something very satisfying about “reconsidering” The Ferguson Report—striking through whole sections of it, as if undoing the harm that had been done,” says Nicole Sealey in our online exclusive interview about her new book, The Ferguson Report: An Erasure, published by Knopf in August. In the interview, the poet discusses both the difficulty of “prying lyric from a lyric-less document” and how erasure provided access to the words she may not have found on her own. This week, find a seemingly lyric-less document and consider the words that lure you in. Try writing your own erasure poem, rubbing out words for your response to the text. For further inspiration, see this poem from Sealey’s new book.",
"“Everybody looks at him playing / the machine hour after hour, / but he hardly raises his gold lashes,” writes Thom Gunn in his poem “Bally Power Play,” which appears in his collection The Passages of Joy (Farrar, Straus and Giroux, 1982). In the poem, an unnamed speaker describes the movements of a pinball player in a bar with a sense of close watchfulness and adoration. “He is / the cool source of all that hurry / and desperate activity, in control, / legs apart, braced arms apart, / seeming alive only at the ends,” writes Gunn. This week, write a poem that captures a scene in which your speaker is observing someone closely. Consider, as in Gunn’s poem, how descriptive language can create and match the rhythm of a subject’s movements. For more inspiration, read C. K. Williams’s poem “From My Window.”",
"“Everybody’s got a song / they’ve gotta sing. / So they say. So they / think,” begins Rita Dove’s poem “The Spring Cricket’s Discourse on Critics,” published in the Believer this month. The deftly enjambed poem uses the perspective of a cricket and its ability to use its legs to chirp, known as stridulation, to discuss an artist’s defense against critics believing “they can / just… crank out the golden / tunes.” Use the perspective of an insect or an animal whose abilities come naturally to examine an aspect of being a poet. Try enjambment in your poem to emphasize particular words.",
"“Fish / fowl / flood / Water lily mud / My life // in the leaves and on water,” writes Lorine Niedecker in “Paean to Place,” a long lyric poem that meditates on the region of southern Wisconsin where she was born and lived most of her life. Written in short sections, the poem goes in and out of memories and pastoral descriptions of marshlike landscapes, altogether serving as a testament to the impact a place can have on one’s poetic sensibilities. This week write a pastoral ode to the landscape you grew up in. Whether an urban sprawl or a rural town, try to use the poem’s form and idiosyncratic language to paint a portrait of your experience in this formative place.",
"“For $200: When inheritance begins // What is: in the womb / What is: decades before I announced my father dead / to me,” writes Taylor Byas in the poem “Jeopardy! (The Category Is Birthright),” which appears in her debut collection, I Done Clicked My Heels Three Times (Soft Skull Press, 2023). In this emotional poem, which follows the familiar format of the classic trivia game show referenced in the title, each stanza is framed with a dollar amount and clue in the form of an answer, followed by a list of potential responses in the form of questions. Try writing a poem that turns the format of your favorite game show into a poetic form. Whether you experiment with Wheel of Fortune, Pyramid, or Lingo, what limits of language can you reach when pushing your use of form?",
"“For the first time, I agreed last year to cotranslate a book from a language I don’t speak at all…. It was an opportunity for new kinds of thinking but also new kinds of failure,” writes poet, novelist, and translator Idra Novey in her essay “Writing While Translating.” Many contemporary writers have expanded the art of translation by experimenting with form and content: Mary Jo Bang filled her translation of Dante’s Inferno (Graywolf Press, 2012) with pop culture references; David Cameron used spell-check and word-association methods for Flowers of Bad (Unbelievable Alligator/Ugly Duckling Presse, 2007), his “false translation” of Baudelaire’s Les Fleurs du Mal; and Paul Legault’s The Emily Dickinson Reader (McSweeney’s Books, 2012) is a translation of Emily Dickinson’s poetry into one-line renderings, from English into a different version of English. Try your hand at translating a short series of poems from one language to another. Use your knowledge of another language, slang, dictionaries, or any unlikely source to explore the elasticity of language while considering how new kinds of failure might inspire a refreshing direction for your writing.",
"""For the poetry reader...there are certain emotions you are allowed to feel—sadness, love—but this is such a miserable choice of all the emotions one feels,"" writes Craig Raine in the English Review. ""One feels anger, boredom, chilliness—quite strong emotions, but they don't get much of a run in poetry, and I think they should."" Write a poem about anger or boredom or any other ""nonpoetic"" emotion. If you have trouble getting started, try using the first line of John Berryman's devastating ""Dream Song 14"": ""Life, friends, is boring. We must not say so.""",
"“From narrow provinces / of fish and bread and tea, / home of the long tides / where the bay leaves the sea,” writes Elizabeth Bishop in her iconic poem “The Moose,” in which she writes about a bus ride through Nova Scotia, describing in detail both the natural landscape and the conversations happening inside the bus. The poem takes its title from the final scene, in which the bus stops in front of a moose in the middle of the road. Write a poem that takes place entirely within the stretch of a single journey. Be it by plane, bus, or car, how can you use the finite sense of a journey to your poem’s advantage?",
"“Generally I think that when you’re talking about the music of a country, you’re talking more or less about the soundtrack of a country, the soundtrack by which people’s lives are lived,” poet Tyehimba Jess said in a recent interview with the New School’s Wynne Kontos. “What’s interesting to me is to hear about the lives of the people who have created that soundtrack.” Jess’s Pulitzer Prize–winning collection, Olio (Wave Books, 2016), covers an array of nineteenth- and twentieth-century African American musicians and performers, presenting a multiplicity of voices and histories through a collage of verse, song, and narrative. What musicians are part of the soundtrack of your life? Choose several musicians or bands integral to your soundtrack, and write poems that reflect on the lives of these musicians, combining research and imagination in a song of your own.",
"“Grief is a heated iron comb: // The kerosene of grief, it doesn’t age well, it degrades: / Grief is a kind of time: // Sign your name. Become a series of signals...” For the Academy of American Poets’s Poem-a-Day, Sun Yung Shin writes that her poem “A History of Domestication” is part of a forthcoming collection exploring “how climate threat and mass extinction may affect our social relations, our sense of death and the afterlife/underworld, and how we think of violence in our species.” Write a poem that explores issues that have become important to you as you think about current forces of destruction. When you imagine the near future, how do you envision priorities shifting? What about further on down the line?",
"“I always feel that I’ve seen a thing after I’ve described it….when I’ve written a thorough physical description of something, then I feel like I’ve seen it and I’ll remember it,” says Barbara Kingsolver in “A Talk in the Woods,” her conversation with Richard Powers in the November/December issue of Poets & Writers Magazine. Choose an object that you have never really given much thought to, but that you see frequently in your home or on your commute, perhaps a houseplant or a mailbox or a street sign. Spend some time intensely observing it, and then jot down a thorough physical description. Afterwards, write a poem about the object. How did your perception of it change, in your mind’s eye, after going through the exercise of articulating it in language?",
"“I am a love poet, or a poet in love with the world. It is just who I am…. Is it foolish to speak of little joys that occur in the middle of tragedy? It is our humanity.” In “Still Dancing” in the March/April issue of Poets & Writers Magazine, Garth Greenwell interviews Ilya Kaminsky who speaks about writing poetry that witnesses and explores moments of joy, love, and tenderness even in the face of horror, violence, war, and tragedy. Write a poem that confronts an issue of strife or suffering, but also recognizes and allows room for the existence of love and little joys. Consider how you might strike a balance between the two emotional experiences and how they are intertwined.",
"“I am five, / Wading out into deep / Sunny grass,” writes Yusef Komunyakaa in his poem “Venus’s-Flytraps.” The young speaker in this poem delivers a collage-like monologue that lays out the various characters, images, and places from his life along with a sense of wonder and danger carefully balanced in striking lines, creating a tapestry that portrays a very real and complex childhood. “I know things / I don’t supposed to know. / I could start walking / & never stop. / These yellow flowers / Go on forever,” writes Komunyakaa. Write a poem from the perspective of a curious child, which, like Komunyakaa’s poem, illustrates even the most devastating things with a sense of wonder.",
"“i am running into a new year / and the old years blow back / like a wind,” writes Lucille Clifton in her poem “i am running into a new year,” which is included in The Collected Poems of Lucille Clifton 1965-2010 edited by Kevin Young and Michael S. Glaser (BOA Editions, 2015). In this popular poem, Clifton writes about encountering her past as she moves into the future: “it will be hard to let go / of what i said to myself / about myself / when i was sixteen and / twenty-six and thirty-six.” Write a poem about the feeling you get when entering a new year. What are you taking with you, and what are you leaving behind? For further inspiration, read this Washington Post article by Stephanie Burt about the tradition of greeting a new year with poetry.",
"“I attempt to discuss, through a conflation of creation myths, the idea of being formed by literature,” writes Paige Ackerson-Kiely on the Poetry Society of America’s website about the title poem in her second collection, My Love Is a Dead Arctic Explorer (Ahsahta Press, 2012), which began as a response to arctic explorer Admiral Richard E. Byrd’s memoirs. “One fact of my life...is that I have often been consoled by books, have found a life for myself within those pages, when that sort of life was not available to me on the outside.” Write a love poem that points to how you have been formed by your favorite books, writers, and literature. How has a particularly memorable work of literature provided you with consolation and love, and helped create an inner vitality?",
"“I began writing poetry as an act of survival,” writes Safiya Sinclair in “Shadows of Words: Our Twelfth Annual Look at Debut Poets” in the January/February 2017 issue of Poets & Writers Magazine. Think about how you might look at your own writing as an act of survival: What are the most troublesome issues and sources of conflict in your everyday life, whether small and tangible or large and amorphous? How might the practice of putting pen to paper and giving words to emotions be integral to your encounter with these obstacles? Write a poem that helps you think through and voice your troubles.",
"“I can’t afford to think like Whitman / that whomever I shall meet on the road I shall love / and whoever beholds me shall love me,” writes Tyree Daye in “Field Notes on Leaving,” the first poem in Cardinal, out today from Copper Canyon Press. The collection includes blurred photos of Daye’s family and childhood and an epigraph from the Green Book, the mid-1900s guidebook that provided Black Americans with advice on safe places to eat and sleep as they traveled in the United States. Write a short series of poems that acts as a kind of family album, providing a record of journeying within a community through adolescence and adulthood. In each poem allow yourself to explore themes of home and travel, in both literal and figurative ways, including interactions with local people or other travelers, signposts or navigational tools, baggage brought along, and the things or places left behind.",
"“I caught this morning morning’s minion, king- / dom of daylight’s dauphin, dapple-dawn-drawn Falcon, in his riding / Of the rolling level underneath him steady air,” begins Gerard Manley Hopkins’s 1877 poem “The Windhover,” a sonnet in which the poet wields the image of a kestrel in flight to explore his conflicted feelings about spirituality and art. The beginning lines of the poem are filled with repetition—of words, alliteration, consonance, and assonance—all of which place a weight onto the words, slowing the pace as one reads it aloud. Try your hand at weighing down the beginning of a new poem with repetition, using a variety of rhymes and sound. After a leisure beginning, does your poem suddenly break free and open, or is it more gradual?",
"“I celebrate myself, and sing myself, / And what I assume you shall assume, / For every atom belonging to me as good belongs to you,” begins Walt Whitman’s 1855 poem “Song of Myself.” Filmmaker Jennifer Crandall’s video series Whitman, Alabama, featured in the July/August issue of Poets & Writers Magazine, captures a wide range of Alabamians in different settings and locales in the state, each reciting from one of the fifty-two verses of Whitman’s iconic poem. Watch the series and choose several lines from the poem that feel particularly resonant to you, either capturing the mood of the moment or a theme you’ve been thinking about for a while. Write a poem starting with Whitman’s words, and then move on to explore how this theme ties in with your own ideas about American identity, community, and interpersonal connections.",
"“I changed the order of my books on the shelves. / Two days later, the war broke out. / Beware of changing the order of your books!” writes Mosab Abu Toha in his poem “Under the Rubble,” which appears in his new collection, Forest of Noise (Knopf, 2024). In the poem, Abu Toha combines moments of whimsy, with distressing references to violence, death, and loss to present a portrayal of the day-to-day existence during a time of catastrophic war. Write a poem that ruminates on a difficult issue in your life that incorporates elements of playfulness or wonder in your exploration of the subject. Consider experimenting with a series of variating short stanzas as Abu Toha does in his poem, changing the tone with each section. Abu Toha speaks about his book in an interview in the November/December issue of Poets & Writers Magazine.",
"“I come from the cracked hands of men who used / the smoldering ends of blunts to blow shotguns,” writes Reginald Dwayne Betts, recipient of a 2021 MacArthur “Genius” Fellowship, in his poem “Shahid Reads His Own Palm.” Betts uses anaphora to propel the narrative forward, describing the places that have shaped and haunted him with an incantatory rhythm: “I come from ‘Swann Road’ written in a child's / slanted block letters across a playground fence.” Write a poem about your origins that repeats the words, “I come from,” throughout it. Does the repetition conjure any surprising images?",
"“I did not yet consider myself a poet, but I could not forget the sensual power of her words,” writes Tina Carlson, in “5 Over 50” in the November/December issue of Poets & Writers Magazine, about the experience of watching Lucille Clifton read her poem “homage to my hips” in the 1980s. Browse through other poems about the body, from Walt Whitman’s “I Sing the Body Electric” to Jane Hirshfield’s “A Hand,” and write a poem that focuses on the human body, perhaps incorporating themes of celebration, awe, history, intimacy, or health. How might you play with diction and repetition, line breaks, and rhythm and sounds to reflect the sensual power of the body?",
"“I don’t call it sleep anymore. / I’ll risk losing something new instead,” writes Natalie Diaz in her poem “From the Desire Field,” which appears in her Pulitzer Prize–winning collection, Postcolonial Love Poem (Graywolf Press, 2020). The poem speaks from the mind of someone unable to fall asleep who attempts to find a sense of relief through their insomnia. “Let me call my anxiety, desire, then. / Let me call it, a garden,” she writes. Emotions then begin to move away from the tension of not being able to sleep into sensuality and passion. This week write a poem that revolves around what it feels like to experience insomnia. What do you do when you can’t fall asleep?",
"“I don’t know about you, but for me, the last two years have put a strain on language,” says Ada Limón in an episode of The Slowdown, a podcast hosted by the poet featuring a curated poem. “For me, and maybe for many of us, the way we say I love you, is just by showing up. By being there, sometimes quietly, wordlessly, but there, in person, nonetheless,” she says while introducing the featured poem “Don’t Say Love Just Signal” by Tyree Daye. This week, write a poem about the ways love can be expressed physically, without words. When words aren’t enough, how does the body say more?",
"“I first started writing poetry (and still write it) because the world, its people, and their ideas are wrong, insane, immoral, flawed, or unimaginably terrible. I write because I feel wrong, sad, crazy, disappointed, disappointing, and unimaginably terrible,” writes Rachel Zucker in “The Poetics of Wrongness, an Unapologia,” the first in a series of lectures delivered for the Bagley Wright Lecture Series in 2016 and collected in The Poetics of Wrongness, forthcoming in February from Wave Books. In the form of an unapologia, a reversal of the traditional apologia form that typically consists of a defense of one’s own opinions and actions, Zucker posits that “wrongness” is intrinsic to writing poetry and that poetry asserts “with its most defining formal device—the line break—that the margins of prose are wrong, or—with its attention to diction—that the ways in which we’ve come to understand and use words [is] wrong.” Write a poem in the form of an unapologia. Identify when you have been wrong in the past, and try not to defend yourself. Instead, speak through your feelings of wrongness.",
"“I focused on myself all this time because that’s what I thought poetry was—personal narrative,” says poet Jake Skeets in an interview about his debut collection, Eyes Bottle Dark With a Mouthful of Flowers (Milkweed Editions, 2019), in the September/October issue of Poets & Writers Magazine. It was during his time with mentors at Santa Fe’s Institute for American Indian Arts that Sheets began to see the intersections between his personal life and broader explorations of the New Mexico reservation where he grew up. Jot down a short list of seemingly disparate topics you’ve written about in different pieces or projects, and write a poem that combines two or more of these themes. Consider both the natural intersections you land on initially, and perhaps some distant connections that require more of an imaginative stretch.",
"“I had a dream, which was not all a dream. / The bright sun was extinguish’d, and the stars / Did wander darkling in the eternal space, / Rayless, and pathless, and the icy earth / Swung blind and blackening in the moonless air,” wrote Lord Byron in “Darkness,” a poem composed in the summer of 1816, when unusually frigid temperatures, ominous thunderstorms, and incessant rains forced Byron, Percy Bysshe Shelley, and Mary Shelley to hole up inside a Swiss villa. While there they initiated the famous ghost story contest that launched Mary Shelley’s novel Frankenstein and inspired Byron and Percy Shelley to create work filled with foreboding elements of the natural environment. Write a poem inspired by extreme weather phenomena, perhaps invoking elements of an environment in crisis and apocalyptic climate change. How can you manipulate imagery, syntax, and meter to make meteorological conditions fearsome and lyrical, to make something natural seem supernatural?",
"“I have always grown up in a world where there were things one did not understand, because there were languages that were not completely accessible,” said Meena Alexander in an interview with Ruth Maxey for the Kenyon Review in 2005. “It just gives you a particular sense of being in a world where you can be comfortable even though linguistically the world is not really knowable.” Write a poem that touches upon something unknown or that you may have misunderstood in the past. With the help of a dictionary or online research, try incorporating words from a language you are unfamiliar with to add to the ambiguity.",
